"Statistiques sommaires sur les bénéficiaires du crédit pour la TPS/TVH et paiements par province et territoire, et nombre d'enfants à charge",Total général des bénéficiaires du crédit d'impôt pour la TPS/TVH #,Total général des bénéficiaires du crédit d'impôt pour la TPS/TVH $ (000),Pas d'enfant #,Pas d'enfant $ (000),1 enfant #,1 enfant $ (000),2 enfants #,2 enfants $ (000),3 enfants ou plus #,3 enfants ou plus $ (000)
Terre-Neuve-et-Labrador,158320,63699,147560,55735,6370,4455,3050,2309,1340,1199
Île-du-Prince-Édouard,44000,17487,40140,14680,2040,1371,1110,832,710,603
Nouvelle-Écosse,295390,118074,271770,100113,12840,9063,6890,5317,3890,3581
Nouveau-Brunswick,243180,97895,223270,83185,10880,7552,5960,4445,3080,2713
Québec,2623690,1035632,2402070,874835,106290,69869,70940,51432,44380,39495
Ontario,3847890,1554696,3462040,1261970,183240,125673,126920,96548,75680,70506
Manitoba,372530,154681,326570,118148,18670,12781,13620,10345,13670,13407
Saskatchewan,284410,119986,250090,92354,14780,10416,10110,7979,9430,9236
Alberta,866730,352609,781770,287264,38390,26362,25560,19287,21010,19696
Colombie-Britannique,1335410,532273,1221430,448606,57980,39265,38410,28572,17590,15830
Territoires du Nord-Ouest,10240,4190,9120,3309,570,396,280,221,280,264
Yukon,8460,3385,7840,2933,350,229,180,137,100,86
Nunavut,7970,4010,5690,2128,810,559,590,466,880,857
Extérieur du Canada,660,300,460,163,90,50,70,51,40,36
Total général pour le Canada,10098880,4058917,9149810,3345423,453300,308042,303710,227942,192070,177510
